title,address,city,state,postal_code,price,facts and features,real estate provider,url
Condo For Sale,777 E South Temple APT 5G,Salt Lake City,UT,84102,"$274,500 ","2 bds , 2 ba , 1,141 sqft",Engel & Volkers Park City,https://www.zillow.com/homedetails/777-E-South-Temple-APT-5G-Salt-Lake-City-UT-84102/12720968_zpid/
For Sale by Owner,632 S 700 E,SALT LAKE CITY,UT,84102,"$388,000 ","4 bds , 4 ba , 1,890 sqft",,https://www.zillow.com/homedetails/632-S-700-E-Salt-Lake-City-UT-84102/12754330_zpid/
House For Sale,1441 E South Temple,Salt Lake City,UT,84102,"$2,700,000 ","6 bds , 7 ba , 7,985 sqft",Coldwell Banker Residential Brokerage - The Salt Lake-Avenues Office,https://www.zillow.com/homedetails/1441-E-South-Temple-Salt-Lake-City-UT-84102/12722246_zpid/
House For Sale,337 S 1000 E,SALT LAKE CITY,UT,84102,"$400,000 ","2 bds , 2 ba , 2,122 sqft",,https://www.zillow.com/homedetails/337-S-1000-E-Salt-Lake-City-UT-84102/12754550_zpid/
Condo For Sale,777 E South Temple APT 10B,Salt Lake City,UT,84102,"$385,000 ","2 bds , 2 ba , 1,298 sqft",Endurance Real Estate,https://www.zillow.com/homedetails/777-E-South-Temple-APT-10B-Salt-Lake-City-UT-84102/12721012_zpid/
House For Sale,234 S 600 E,SALT LAKE CITY,UT,84102,"$339,900 ","3 bds , 3 ba , 1,812 sqft",,https://www.zillow.com/homedetails/234-S-600-E-Salt-Lake-City-UT-84102/12755801_zpid/
Townhouse For Sale,53 S 800 E,Salt Lake City,UT,84102,"$719,900 ","4 bds , 4 ba , 2,863 sqft",Select Group Realty LLC,https://www.zillow.com/homedetails/53-S-800-E-Salt-Lake-City-UT-84102/2092450833_zpid/
House For Sale,1051 E Fuller Ave,SALT LAKE CITY,UT,84102,"$339,900 ","3 bds , 2 ba , 1,224 sqft",,https://www.zillow.com/homedetails/1051-E-Fuller-Ave-Salt-Lake-City-UT-84102/12754743_zpid/
House For Sale,345 S Douglas E St,Salt Lake City,UT,84102,"$735,000 ","3 bds , 3 ba , 3,207 sqft",Chapman Richards & Associates,https://www.zillow.com/homedetails/345-S-Douglas-E-St-Salt-Lake-City-UT-84102/2091345488_zpid/
House For Sale,634 S 800 E,SALT LAKE CITY,UT,84102,"$405,000 ","7 bds , 2.75 ba , 2,530 sqft",,https://www.zillow.com/homedetails/634-S-800-E-Salt-Lake-City-UT-84102/12754382_zpid/
