zpid,title,address,city,state,postal_code,price,facts and features,url,beds,baths,sqft,neighborhood,region,price_per_sqft,size_type
12754185,House For Sale,354 S 900 E,SALT LAKE CITY,UT,84102,359000.0,"3 bds , 3 ba , 1,606 sqft",https://www.zillow.com/homedetails/354-S-900-E-Salt-Lake-City-UT-84102/12754185_zpid/,3.0,3.0,1606.0,Downtown SLC,Downtown-SLC,223.53673723536738,medium
12755201,House For Sale,1073 E 600 S,SALT LAKE CITY,UT,84102,460000.0,"3 bds , 2 ba , 2,428 sqft",https://www.zillow.com/homedetails/1073-E-600-S-Salt-Lake-City-UT-84102/12755201_zpid/,3.0,2.0,2428.0,Downtown SLC,Downtown-SLC,189.45634266886327,large
12721006,Condo For Sale,777 E South Temple APT 9E,SALT LAKE CITY,UT,84102,334000.0,"2 bds , 2 ba , 1,132 sqft",https://www.zillow.com/homedetails/777-E-South-Temple-APT-9E-Salt-Lake-City-UT-84102/12721006_zpid/,2.0,2.0,1132.0,Downtown SLC,Downtown-SLC,295.0530035335689,small
61167530,Condo For Sale,23 S 800 E # 10,SALT LAKE CITY,UT,84102,260000.0,"2 bds , 1 ba , 922 sqft",https://www.zillow.com/homedetails/23-S-800-E-10-Salt-Lake-City-UT-84102/61167530_zpid/,2.0,1.0,922.0,Downtown SLC,Downtown-SLC,281.99566160520607,small
12754230,House For Sale,433 S Fletcher Ct,SALT LAKE CITY,UT,84102,319000.0,"3 bds , 2 ba , 2,067 sqft",https://www.zillow.com/homedetails/433-S-Fletcher-Ct-Salt-Lake-City-UT-84102/12754230_zpid/,3.0,2.0,2067.0,Downtown SLC,Downtown-SLC,154.32994678277697,medium
2090527646,Apartment For Sale,265 S 700 E,SALT LAKE CITY,UT,84102,300000.0,"2 bds , 2 ba , 1,008 sqft",https://www.zillow.com/homedetails/265-S-700-E-Salt-Lake-City-UT-84102/2090527646_zpid/,2.0,2.0,1008.0,Downtown SLC,Downtown-SLC,297.6190476190476,small
52275206,Condo For Sale,531 S 900 E APT C10,SALT LAKE CITY,UT,84102,249900.0,"2 bds , 2 ba , 850 sqft",https://www.zillow.com/homedetails/531-S-900-E-APT-C10-Salt-Lake-City-UT-84102/52275206_zpid/,2.0,2.0,850.0,Downtown SLC,Downtown-SLC,294.0,small
12753101,For Sale by Owner,845 E 100 S APT 305,SALT LAKE CITY,UT,84102,259900.0,"2 bds , 2 ba , 1,200 sqft",https://www.zillow.com/homedetails/845-E-100-S-APT-305-Salt-Lake-City-UT-84102/12753101_zpid/,2.0,2.0,1200.0,Downtown SLC,Downtown-SLC,216.58333333333334,medium
12720968,Condo For Sale,777 E South Temple APT 5G,SALT LAKE CITY,UT,84102,274500.0,"2 bds , 2 ba , 1,141 sqft",https://www.zillow.com/homedetails/777-E-South-Temple-APT-5G-Salt-Lake-City-UT-84102/12720968_zpid/,2.0,2.0,1141.0,Downtown SLC,Downtown-SLC,240.57843996494304,small
12754330,For Sale by Owner,632 S 700 E,SALT LAKE CITY,UT,84102,388000.0,"4 bds , 4 ba , 1,890 sqft",https://www.zillow.com/homedetails/632-S-700-E-Salt-Lake-City-UT-84102/12754330_zpid/,4.0,4.0,1890.0,Downtown SLC,Downtown-SLC,205.2910052910053,medium
